date,daily_index,daily_people,daily_dwelling_people,total_daily_dwell_time,average_daily_dwell_time,temperature,precipiation_amount,precipitation_chance,percent_cloud_cover,percent_humidity
07/10/2024,60.42,96.0,58.0,542.49,5.65,58.8,0.56,16.7,73.7,79.5
07/11/2024,38.1,63.0,24.0,163.93,2.6,53.9,0.03,12.5,74.0,88.3
07/12/2024,42.59,54.0,23.0,97.93,1.81,54.7,0.0,4.2,95.3,85.2
07/13/2024,0.0,21.0,0.0,0.0,0.0,56.6,0.0,0.0,23.2,73.6
07/14/2024,38.1,21.0,8.0,12.3,0.59,53.2,0.11,4.2,51.5,80.8
07/15/2024,28.57,63.0,18.0,113.37,1.8,55.8,0.0,4.2,5.7,76.8
07/16/2024,6.82,44.0,3.0,31.01,0.7,59.7,0.0,0.0,0.6,64.4
07/24/2024,50.38,131.0,66.0,369.27,2.82,51.1,0.15,8.3,72.7,86.6
07/25/2024,46.4,125.0,58.0,393.52,3.15,56.6,0.32,16.7,68.9,89.6
07/26/2024,31.48,108.0,34.0,11.06,0.1,57.4,0.2,12.5,48.5,87.3
07/27/2024,20.83,24.0,5.0,13.83,0.58,58.8,0.01,4.2,50.7,78.3
07/28/2024,34.43,61.0,21.0,32.11,0.53,59.8,0.48,16.7,63.2,82.6
07/29/2024,12.96,54.0,7.0,32.48,0.6,60.3,0.05,12.5,75.3,86.1
07/30/2024,11.11,54.0,6.0,2.6,0.05,60.2,0.08,12.5,28.6,90.4
07/31/2024,13.33,75.0,10.0,6.56,0.09,61.8,0.26,12.5,36.1,86.4
08/01/2024,7.25,69.0,5.0,46.65,0.68,55.0,0.19,12.5,70.4,72.5
08/02/2024,10.71,84.0,9.0,52.93,0.63,53.1,0.0,8.3,89.6,78.1
08/03/2024,0.0,41.0,0.0,0.0,0.0,52.7,0.0,4.2,24.6,71.8
08/04/2024,8.7,46.0,4.0,19.84,0.43,52.1,0.0,0.0,21.2,71.6
08/05/2024,5.17,58.0,3.0,3.92,0.07,55.7,0.0,0.0,10.0,74.3
08/06/2024,2.86,70.0,2.0,0.57,0.01,60.2,0.03,4.2,74.5,79.6
