date,daily_index,total_daily_person,total_daily_sitting,total_daily_sitting_duration,average_daily_sitting_duration,temperature,precipiation_amount,precipitation_chance,percent_cloud_cover,percent_humidity
07/10/2024,39.58,96,38.0,428.47,4.46,58.8,0.56,16.7,73.7,79.5
07/11/2024,39.68,63,25.0,168.28,2.67,53.9,0.03,12.5,74.0,88.3
07/12/2024,31.48,54,17.0,52.16,0.97,54.7,0.0,4.2,95.3,85.2
07/13/2024,0.0,21,0.0,0.0,0.0,56.6,0.0,0.0,23.2,73.6
07/14/2024,23.81,21,5.0,9.66,0.46,53.2,0.11,4.2,51.5,80.8
07/15/2024,23.81,63,15.0,81.55,1.29,55.8,0.0,4.2,5.7,76.8
07/16/2024,9.09,44,4.0,31.01,0.7,59.7,0.0,0.0,0.6,64.4
07/24/2024,35.11,131,46.0,355.84,2.72,51.1,0.15,8.3,72.7,86.6
07/25/2024,38.4,125,48.0,357.16,2.86,56.6,0.32,16.7,68.9,89.6
07/26/2024,0.93,108,1.0,0.12,0.0,57.4,0.2,12.5,48.5,87.3
07/27/2024,0.0,24,0.0,0.0,0.0,58.8,0.01,4.2,50.7,78.3
07/28/2024,24.59,61,15.0,15.37,0.25,59.8,0.48,16.7,63.2,82.6
07/29/2024,7.41,54,4.0,23.23,0.43,60.3,0.05,12.5,75.3,86.1
07/30/2024,1.85,54,1.0,0.0,0.0,60.2,0.08,12.5,28.6,90.4
07/31/2024,2.67,75,2.0,0.63,0.01,61.8,0.26,12.5,36.1,86.4
08/01/2024,1.45,69,1.0,1.35,0.02,55.0,0.19,12.5,70.4,72.5
08/02/2024,1.19,84,1.0,2.58,0.03,53.1,0.0,8.3,89.6,78.1
08/03/2024,4.88,41,2.0,0.0,0.0,52.7,0.0,4.2,24.6,71.8
08/04/2024,2.17,46,1.0,0.3,0.01,52.1,0.0,0.0,21.2,71.6
08/05/2024,0.0,58,0.0,0.0,0.0,55.7,0.0,0.0,10.0,74.3
08/06/2024,0.0,70,0.0,0.0,0.0,60.2,0.03,4.2,74.5,79.6
