date,daily_index,daily_total_social,daily_total_ped,temperature,precipiation_amount,precipitation_chance,percent_cloud_cover,percent_humidity
07/10/2024,10.37,26.0,96.0,58.8,0.56,16.7,73.7,79.5
07/11/2024,1.81,4.0,63.0,53.9,0.03,12.5,74.0,88.3
07/12/2024,2.13,5.0,54.0,54.7,0.0,4.2,95.3,85.2
07/13/2024,0.0,0.0,21.0,56.6,0.0,0.0,23.2,73.6
07/14/2024,0.0,0.0,21.0,53.2,0.11,4.2,51.5,80.8
07/15/2024,1.11,3.0,63.0,55.8,0.0,4.2,5.7,76.8
07/16/2024,0.0,0.0,44.0,59.7,0.0,0.0,0.6,64.4
07/24/2024,9.08,31.0,131.0,51.1,0.15,8.3,72.7,86.6
07/25/2024,8.7,30.0,125.0,56.6,0.32,16.7,68.9,89.6
07/26/2024,0.0,0.0,108.0,57.4,0.2,12.5,48.5,87.3
07/27/2024,0.0,0.0,24.0,58.8,0.01,4.2,50.7,78.3
07/28/2024,0.0,0.0,61.0,59.8,0.48,16.7,63.2,82.6
07/29/2024,3.33,6.0,54.0,60.3,0.05,12.5,75.3,86.1
07/30/2024,0.0,0.0,54.0,60.2,0.08,12.5,28.6,90.4
07/31/2024,0.0,0.0,75.0,61.8,0.26,12.5,36.1,86.4
08/01/2024,0.0,0.0,69.0,55.0,0.19,12.5,70.4,72.5
08/02/2024,0.0,0.0,84.0,53.1,0.0,8.3,89.6,78.1
08/03/2024,0.0,0.0,41.0,52.7,0.0,4.2,24.6,71.8
08/04/2024,0.0,0.0,46.0,52.1,0.0,0.0,21.2,71.6
08/05/2024,0.0,0.0,58.0,55.7,0.0,0.0,10.0,74.3
08/06/2024,0.0,0.0,70.0,60.2,0.03,4.2,74.5,79.6
