date,socializing_index_60min,hour_total_social,hour_total_ped
2024-07-08,4.807692307692308,0.625,5.375
2024-07-09,0.0,0.0,1.2777777777777777
2024-07-10,10.582729468599034,1.4444444444444444,5.166666666666667
2024-07-11,1.9753086419753088,0.2222222222222222,3.388888888888889
2024-07-12,2.255892255892256,0.2777777777777778,2.9444444444444446
2024-07-13,0.0,0.0,1.1666666666666667
2024-07-14,0.0,0.0,1.1666666666666667
2024-07-15,1.1111111111111112,0.16666666666666666,3.5
2024-07-16,0.0,0.0,2.4444444444444446
2024-07-17,3.4391534391534386,0.2222222222222222,2.1666666666666665
2024-07-18,0.0,0.0,0.0
2024-07-19,0.0,0.0,1.9444444444444444
2024-07-20,0.0,0.0,1.5
2024-07-21,0.0,0.0,1.6666666666666667
2024-07-22,0.0,0.0,2.7777777777777777
2024-07-23,0.0,0.0,3.4444444444444446
2024-07-24,9.234562020939729,1.7222222222222223,7.222222222222222
2024-07-25,8.846153846153847,1.6666666666666667,6.666666666666667
2024-07-26,0.0,0.0,5.777777777777778
2024-07-27,0.0,0.0,1.3333333333333333
2024-07-28,0.0,0.0,3.2777777777777777
2024-07-29,3.3333333333333335,0.3333333333333333,3.0
2024-07-30,0.0,0.0,2.9444444444444446
2024-07-31,0.0,0.0,4.055555555555555
2024-08-01,0.0,0.0,3.8333333333333335
2024-08-02,0.0,0.0,4.5
2024-08-03,0.0,0.0,2.2222222222222223
2024-08-04,0.0,0.0,2.5555555555555554
2024-08-05,0.0,0.0,3.1666666666666665
2024-08-06,0.0,0.0,3.6666666666666665
